frame_idx,iso_time,timestamp,t_rel,event_id,selected_event_id,cx,cy,x,y,w,h,area,angle,group
52857,2026-05-04T14:04:22.269226,1777917862.2692258,3611.1471991539,33962,1292,326,81,323,79,7,5,11.0,18.31120003151557,biwa
52961,2026-05-04T14:04:29.357775,1777917869.3577752,3618.235748529434,33963,1293,472,293,469,290,7,6,20.0,110.81722075310995,biwa
53229,2026-05-04T14:04:47.613524,1777917887.6135242,3636.491497516632,33964,1294,212,119,210,115,5,8,16.5,326.0489056716547,koto
53230,2026-05-04T14:04:47.677204,1777917887.6772037,3636.555176973343,33965,1295,213,118,211,116,5,5,10.0,326.7005794628158,koto
53231,2026-05-04T14:04:47.757314,1777917887.7573142,3636.6352875232697,33966,1296,212,117,210,115,5,5,11.0,326.5674398615991,koto
53236,2026-05-04T14:04:48.093417,1777917888.0934174,3636.971390724182,33967,1297,212,118,210,115,5,6,11.5,326.30993247402023,koto
53237,2026-05-04T14:04:48.157994,1777917888.1579938,3637.0359671115875,33968,1298,212,118,210,115,5,7,14.0,326.30993247402023,koto
53240,2026-05-04T14:04:48.365029,1777917888.365029,3637.2430024147034,33969,1299,213,118,211,115,4,7,8.0,326.7005794628158,koto
53277,2026-05-04T14:04:50.892763,1777917890.8927631,3639.7707364559174,33996,1300,411,275,408,272,7,6,12.0,112.77496954888647,biwa
53278,2026-05-04T14:04:50.957450,1777917890.9574502,3639.8354234695435,33998,1301,213,118,211,116,5,5,11.0,326.7005794628158,koto
53279,2026-05-04T14:04:51.020190,1777917891.0201902,3639.8981635570526,33999,1302,213,118,211,116,5,5,11.0,326.7005794628158,koto
53280,2026-05-04T14:04:51.085304,1777917891.085304,3639.9632773399353,34000,1303,213,118,211,115,5,6,12.5,326.7005794628158,koto
53281,2026-05-04T14:04:51.164423,1777917891.1644235,3640.0423967838287,34001,1304,213,117,211,115,4,5,8.5,326.9565842431491,koto
53282,2026-05-04T14:04:51.228267,1777917891.2282674,3640.106240749359,34002,1305,213,118,211,116,5,5,11.0,326.7005794628158,koto
53525,2026-05-04T14:05:07.788509,1777917907.7885091,3656.666482448578,34011,1306,203,59,200,57,6,5,10.5,334.4400348281762,koto
53566,2026-05-04T14:05:10.572972,1777917910.5729716,3659.4509449005127,34012,1307,187,267,185,265,4,5,8.5,243.1890456996513,koto
53579,2026-05-04T14:05:11.468740,1777917911.46874,3660.3467133045197,34013,1308,186,268,184,266,5,4,8.5,242.94940299291386,koto
53657,2026-05-04T14:05:16.781096,1777917916.7810965,3665.659069776535,34014,1309,237,378,234,375,7,6,18.0,195.22443001851897,shoko
53658,2026-05-04T14:05:16.845659,1777917916.8456595,3665.7236328125,34015,1310,260,265,257,263,6,5,9.0,203.96248897457818,shoko
53775,2026-05-04T14:05:24.829637,1777917924.8296366,3673.7076098918915,34016,1311,264,149,262,146,4,6,8.0,347.3004155104026,koto
53779,2026-05-04T14:05:25.101952,1777917925.101952,3673.9799253940582,34017,1312,266,148,263,145,6,6,8.0,348.9964591482505,koto
54071,2026-05-04T14:05:44.989389,1777917944.9893887,3693.8673620224,34018,1313,312,365,309,363,7,4,11.0,167.5548968032681,kakko
54072,2026-05-04T14:05:45.070062,1777917945.0700622,3693.948035478592,34019,1314,313,365,310,363,6,4,8.0,167.1786562066011,kakko
