frame_idx,iso_time,timestamp,t_rel,event_id,selected_event_id,cx,cy,x,y,w,h,area,angle,group
158210,2026-05-04T16:04:13.150975,1777925053.1509748,10802.028948068619,64835,3833,237,247,235,244,5,6,8.0,237.87500155961249,koto
158220,2026-05-04T16:04:13.839256,1777925053.8392558,10802.717229127884,64836,3834,239,246,236,244,6,5,11.5,237.61932229343077,koto
158221,2026-05-04T16:04:13.902876,1777925053.9028764,10802.780849695206,64837,3835,238,247,235,244,7,6,10.0,237.26477372789242,koto
158226,2026-05-04T16:04:14.239401,1777925054.2394006,10803.117373943329,64838,3836,113,335,111,333,5,5,8.5,235.4478175494739,koto
158229,2026-05-04T16:04:14.448097,1777925054.4480972,10803.326070547104,64839,3837,113,336,111,333,5,7,11.5,235.21573957402296,koto
158474,2026-05-04T16:04:31.136029,1777925071.136029,10820.01400232315,64844,3838,151,68,148,64,7,9,25.0,319.6792591604048,koto
158483,2026-05-04T16:04:31.759515,1777925071.759515,10820.637488365173,64845,3839,388,233,385,230,6,7,12.0,96.86369191462705,biwa
158547,2026-05-04T16:04:36.111766,1777925076.1117659,10824.989739179611,64846,3840,229,268,225,265,8,6,18.0,226.73570458892837,koto
159286,2026-05-04T16:05:26.480086,1777925126.4800858,10875.358059167862,64847,3841,207,103,205,100,5,6,11.0,328.038656583023,koto
159287,2026-05-04T16:05:26.544368,1777925126.544368,10875.42234134674,64848,3842,207,102,205,100,5,5,10.0,328.2572388465811,koto
159288,2026-05-04T16:05:26.607152,1777925126.607152,10875.485125303268,64849,3843,207,103,205,100,5,6,11.0,328.038656583023,koto
159289,2026-05-04T16:05:26.687342,1777925126.687342,10875.565315246582,64850,3844,207,102,205,100,5,5,8.0,328.2572388465811,koto
159290,2026-05-04T16:05:26.751163,1777925126.7511628,10875.62913608551,64851,3845,207,102,205,100,5,5,10.0,328.2572388465811,koto
159291,2026-05-04T16:05:26.815007,1777925126.815007,10875.69298028946,64852,3846,207,103,205,100,4,6,9.0,328.038656583023,koto
159328,2026-05-04T16:05:29.342929,1777925129.3429291,10878.220902442932,64885,3847,207,102,205,100,5,5,10.0,328.2572388465811,koto
159329,2026-05-04T16:05:29.407741,1777925129.407741,10878.285714387894,64886,3848,207,102,205,100,4,5,8.5,328.2572388465811,koto
159330,2026-05-04T16:05:29.470006,1777925129.4700065,10878.347979784012,64887,3849,207,102,205,100,5,5,10.0,328.2572388465811,koto
159331,2026-05-04T16:05:29.534910,1777925129.5349102,10878.412883520126,64888,3850,207,103,205,101,5,4,8.5,328.038656583023,koto
159332,2026-05-04T16:05:29.615313,1777925129.615313,10878.493286371231,64889,3851,207,103,205,100,5,6,11.0,328.038656583023,koto
159333,2026-05-04T16:05:29.678992,1777925129.6789916,10878.556964874268,64890,3852,207,102,205,100,5,5,8.5,328.2572388465811,koto
159546,2026-05-04T16:05:44.191390,1777925144.19139,10893.069363355637,64896,3853,301,263,299,261,5,5,10.0,153.97040780848647,kakko
159547,2026-05-04T16:05:44.255396,1777925144.2553957,10893.133368968964,64897,3854,300,263,298,261,5,5,11.0,155.05609473657546,kakko
159549,2026-05-04T16:05:44.399166,1777925144.3991659,10893.27713918686,64898,3855,301,263,299,261,5,5,10.0,153.97040780848647,kakko
159550,2026-05-04T16:05:44.463923,1777925144.4639232,10893.341896533966,64899,3856,301,263,298,260,6,6,13.5,153.97040780848647,kakko
159551,2026-05-04T16:05:44.528157,1777925144.5281575,10893.40613079071,64900,3857,301,263,298,261,6,5,11.5,153.97040780848647,kakko
159552,2026-05-04T16:05:44.607504,1777925144.607504,10893.485477209091,64901,3858,301,263,298,261,6,5,11.5,153.97040780848647,kakko
159589,2026-05-04T16:05:47.119558,1777925147.119558,10895.997531414032,64954,3859,301,275,297,273,8,5,12.5,159.1022345011611,kakko
159590,2026-05-04T16:05:47.200378,1777925147.2003782,10896.07835149765,64956,3860,301,263,298,261,6,5,11.0,153.97040780848647,kakko
159591,2026-05-04T16:05:47.264182,1777925147.264182,10896.14215540886,64957,3861,301,263,298,261,6,4,9.0,153.97040780848647,kakko
159592,2026-05-04T16:05:47.326456,1777925147.3264558,10896.204429149628,64958,3862,301,263,298,260,6,6,15.0,153.97040780848647,kakko
159593,2026-05-04T16:05:47.391718,1777925147.3917177,10896.269690990448,64959,3863,301,263,298,261,6,5,15.5,153.97040780848647,kakko
159594,2026-05-04T16:05:47.470658,1777925147.470658,10896.348631381989,64960,3864,301,263,299,261,5,4,9.0,153.97040780848647,kakko
159726,2026-05-04T16:05:56.463538,1777925156.4635384,10905.34151172638,64963,3865,410,275,408,273,5,5,8.0,112.93210043758978,biwa
159728,2026-05-04T16:05:56.591975,1777925156.5919752,10905.469948530197,64964,3866,410,275,407,273,6,5,11.5,112.93210043758978,biwa
159729,2026-05-04T16:05:56.672208,1777925156.672208,10905.550181388855,64965,3867,411,275,408,272,6,6,10.0,112.77496954888647,biwa
159731,2026-05-04T16:05:56.798745,1777925156.7987452,10905.676718473434,64966,3868,410,275,407,272,7,6,13.5,112.93210043758978,biwa
159732,2026-05-04T16:05:56.863381,1777925156.8633807,10905.741353988647,64967,3869,410,275,407,272,7,6,16.5,112.93210043758978,biwa
159733,2026-05-04T16:05:56.943764,1777925156.9437637,10905.82173705101,64968,3870,410,276,407,272,7,8,22.0,113.30489053920314,biwa
160031,2026-05-04T16:06:17.248146,1777925177.2481458,10926.12611913681,64970,3871,119,336,116,334,7,4,10.0,234.22736719428934,koto
160200,2026-05-04T16:06:28.767275,1777925188.7672749,10937.645248174667,64971,3872,130,191,126,186,9,10,17.5,280.94218540900937,koto
160210,2026-05-04T16:06:29.438730,1777925189.4387305,10938.316703796387,64972,3873,128,192,125,188,6,8,14.5,280.43747535111817,koto
160563,2026-05-04T16:06:53.503839,1777925213.503839,10962.38181233406,64975,3874,101,278,98,276,7,5,8.0,252.04651698291633,koto
160570,2026-05-04T16:06:53.984113,1777925213.984113,10962.862086296082,64976,3875,196,75,192,72,8,6,9.5,329.9158434412248,koto
160573,2026-05-04T16:06:54.174932,1777925214.1749322,10963.05290555954,64977,3876,196,75,192,73,8,5,8.0,329.9158434412248,koto
160578,2026-05-04T16:06:54.526889,1777925214.5268886,10963.404861927032,64978,3877,196,75,192,72,8,6,9.5,329.9158434412248,koto
160579,2026-05-04T16:06:54.592173,1777925214.5921733,10963.470146656036,64979,3878,196,75,192,72,8,6,9.5,329.9158434412248,koto
160584,2026-05-04T16:06:54.927482,1777925214.9274817,10963.805454969406,64980,3879,196,75,192,73,8,5,8.0,329.9158434412248,koto
160635,2026-05-04T16:06:58.399299,1777925218.399299,10967.277272224426,64984,3880,235,194,229,191,12,6,30.5,300.01836742760906,koto
160636,2026-05-04T16:06:58.478893,1777925218.478893,10967.35686635971,64986,3881,238,193,235,190,7,7,23.0,302.7352262721076,koto
160637,2026-05-04T16:06:58.543372,1777925218.543372,10967.421345233917,64987,3882,231,194,229,191,4,6,9.0,297.95096902789015,koto
160638,2026-05-04T16:06:58.607386,1777925218.6073864,10967.485359668732,64988,3883,239,192,235,188,8,8,19.5,304.33021719550334,koto
160643,2026-05-04T16:06:58.943467,1777925218.9434667,10967.82143998146,64989,3884,231,196,228,193,6,6,11.0,296.0954241573883,koto
160645,2026-05-04T16:06:59.087896,1777925219.0878956,10967.96586894989,64990,3885,231,197,229,194,5,6,9.0,295.14478563067894,koto
160714,2026-05-04T16:07:03.791479,1777925223.7914793,10972.669452667236,65018,3886,347,158,345,156,5,5,8.0,47.21965555319787,biwa
160861,2026-05-04T16:07:13.807382,1777925233.8073823,10982.6853556633,65019,3887,114,335,111,333,6,5,10.0,235.28690228535237,koto
160862,2026-05-04T16:07:13.872416,1777925233.8724165,10982.750389814377,65020,3888,113,335,111,333,5,5,8.5,235.4478175494739,koto
160863,2026-05-04T16:07:13.935506,1777925233.9355056,10982.813478946686,65021,3889,113,335,110,333,6,5,11.5,235.4478175494739,koto
160864,2026-05-04T16:07:14.016037,1777925234.0160365,10982.894009828568,65022,3890,113,335,111,333,5,5,8.5,235.4478175494739,koto
160865,2026-05-04T16:07:14.080981,1777925234.0809808,10982.95895409584,65023,3891,113,335,110,333,6,5,15.5,235.4478175494739,koto
160866,2026-05-04T16:07:14.143774,1777925234.1437743,10983.021747589111,65024,3892,113,335,110,333,6,5,12.5,235.4478175494739,koto
160903,2026-05-04T16:07:16.671940,1777925236.67194,10985.549913406372,65059,3893,113,335,110,333,6,5,12.5,235.4478175494739,koto
160904,2026-05-04T16:07:16.736005,1777925236.7360048,10985.613978147507,65060,3894,113,335,111,333,5,5,12.5,235.4478175494739,koto
160905,2026-05-04T16:07:16.799075,1777925236.7990746,10985.67704796791,65062,3895,113,335,110,333,6,5,11.0,235.4478175494739,koto
160906,2026-05-04T16:07:16.880044,1777925236.8800442,10985.758017539978,65064,3896,410,275,407,272,6,6,11.5,112.93210043758978,biwa
160907,2026-05-04T16:07:16.942886,1777925236.9428864,10985.820859670639,65066,3897,410,275,407,272,7,6,17.5,112.93210043758978,biwa
160908,2026-05-04T16:07:17.007672,1777925237.0076718,10985.885645151138,65067,3898,410,274,407,271,7,7,15.0,112.55724663470568,biwa
161078,2026-05-04T16:07:28.592081,1777925248.5920808,10997.470054149628,65071,3899,266,375,264,373,4,5,8.5,185.16109803336025,taiko
161079,2026-05-04T16:07:28.655274,1777925248.6552737,10997.533246994019,65072,3900,265,375,263,373,5,5,9.0,185.52754015165615,taiko
161082,2026-05-04T16:07:28.863838,1777925248.8638384,10997.74181175232,65073,3901,265,375,263,373,5,5,11.5,185.52754015165615,taiko
161083,2026-05-04T16:07:28.927362,1777925248.9273622,10997.805335521698,65074,3902,265,375,263,372,5,6,10.0,185.52754015165615,taiko
161084,2026-05-04T16:07:29.006923,1777925249.0069232,10997.8848965168,65075,3903,265,375,263,372,5,6,9.0,185.52754015165615,taiko
161087,2026-05-04T16:07:29.215007,1777925249.215007,10998.092980384827,65076,3904,265,375,263,372,5,6,9.0,185.52754015165615,taiko
161173,2026-05-04T16:07:35.072218,1777925255.0722184,11003.950191736221,65090,3905,318,249,316,246,4,6,9.0,127.34934904464058,biwa
161178,2026-05-04T16:07:35.407991,1777925255.4079914,11004.285964727402,65091,3906,318,248,316,246,5,5,8.0,126.38435181583588,biwa
161325,2026-05-04T16:07:45.423968,1777925265.423968,11014.301941394806,65092,3907,186,147,182,143,8,8,21.5,307.83276127148025,koto
161338,2026-05-04T16:07:46.319829,1777925266.3198285,11015.197801828384,65093,3908,300,331,296,329,8,5,15.5,169.78602701492946,kakko
161339,2026-05-04T16:07:46.383925,1777925266.3839252,11015.261898517609,65095,3909,300,331,296,328,8,6,20.5,169.78602701492946,kakko
161340,2026-05-04T16:07:46.447234,1777925266.4472337,11015.32520699501,65097,3910,300,332,296,329,8,7,24.0,169.87532834460217,kakko
161341,2026-05-04T16:07:46.511531,1777925266.5115306,11015.389503955841,65098,3911,300,332,296,329,9,7,24.5,169.87532834460217,kakko
161342,2026-05-04T16:07:46.590641,1777925266.5906413,11015.468614578247,65100,3912,300,331,296,328,9,6,23.0,169.78602701492946,kakko
161379,2026-05-04T16:07:49.102761,1777925269.1027608,11017.980734109879,65175,3913,300,332,296,329,9,7,27.5,169.87532834460217,kakko
161380,2026-05-04T16:07:49.168286,1777925269.1682856,11018.046258926392,65177,3914,300,332,296,329,9,7,27.5,169.87532834460217,kakko
161381,2026-05-04T16:07:49.246895,1777925269.2468946,11018.124867916107,65178,3915,300,332,296,329,9,7,28.0,169.87532834460217,kakko
161382,2026-05-04T16:07:49.310840,1777925269.3108404,11018.18881368637,65180,3916,300,332,296,329,9,7,26.5,169.87532834460217,kakko
161383,2026-05-04T16:07:49.375572,1777925269.3755717,11018.253545045853,65182,3917,300,332,296,329,8,6,19.0,169.87532834460217,kakko
161384,2026-05-04T16:07:49.438514,1777925269.4385135,11018.31648683548,65184,3918,300,333,296,328,9,10,33.0,169.96309754603647,kakko
161427,2026-05-04T16:07:52.383513,1777925272.3835127,11021.261486053467,65199,3919,314,366,312,363,4,6,9.5,166.8907918018457,kakko
161428,2026-05-04T16:07:52.448031,1777925272.448031,11021.326004266739,65200,3920,314,365,312,362,4,7,8.0,166.80353680778148,kakko
161436,2026-05-04T16:07:52.991238,1777925272.991238,11021.869211435318,65201,3921,313,364,311,361,5,7,10.5,167.09259132873422,kakko
161568,2026-05-04T16:08:01.984089,1777925281.984089,11030.862062215805,65203,3922,370,343,367,341,7,4,8.0,143.80679269443533,biwa
161569,2026-05-04T16:08:02.047517,1777925282.0475173,11030.925490617752,65208,3923,407,316,404,313,6,7,13.5,127.08583549095238,biwa
161570,2026-05-04T16:08:02.128265,1777925282.1282647,11031.006237983704,65212,3924,409,317,404,314,10,7,24.0,126.94089609712904,biwa
161571,2026-05-04T16:08:02.190702,1777925282.190702,11031.068675279617,65215,3925,371,343,366,339,10,8,31.5,143.5045792408788,biwa
161572,2026-05-04T16:08:02.255374,1777925282.2553737,11031.133347034454,65219,3926,371,342,366,338,10,9,39.0,143.28068224272175,biwa
161573,2026-05-04T16:08:02.319874,1777925282.319874,11031.197847366333,65221,3927,386,344,380,340,13,9,37.5,139.47489650624613,biwa
161610,2026-05-04T16:08:04.847840,1777925284.8478396,11033.725812911987,65330,3928,370,343,367,339,6,8,23.0,143.80679269443533,biwa
161611,2026-05-04T16:08:04.911905,1777925284.911905,11033.789878368378,65333,3929,387,344,380,340,14,8,29.5,139.20898492417024,biwa
161612,2026-05-04T16:08:04.991572,1777925284.9915717,11033.86954498291,65336,3930,370,343,366,339,8,8,25.0,143.80679269443533,biwa
161613,2026-05-04T16:08:05.055412,1777925285.055412,11033.933385372162,65338,3931,370,343,367,339,7,8,20.5,143.80679269443533,biwa
161614,2026-05-04T16:08:05.118878,1777925285.1188781,11033.996851444244,65340,3932,370,343,367,340,6,7,20.5,143.80679269443533,biwa
161615,2026-05-04T16:08:05.183055,1777925285.1830552,11034.06102848053,65341,3933,371,343,366,340,10,7,23.0,143.5045792408788,biwa
161708,2026-05-04T16:08:11.519251,1777925291.5192506,11040.397223949432,65354,3934,270,344,267,342,6,5,9.5,184.6106493186606,taiko
161711,2026-05-04T16:08:11.727627,1777925291.7276268,11040.605600118637,65355,3935,271,337,268,333,7,8,19.0,184.3987053549955,taiko
161716,2026-05-04T16:08:12.079949,1777925292.0799494,11040.957922697067,65356,3936,270,337,268,335,5,4,8.5,184.8852025681173,taiko
161719,2026-05-04T16:08:12.271760,1777925292.27176,11041.149733304977,65357,3937,271,337,269,334,5,7,13.5,184.3987053549955,taiko
161804,2026-05-04T16:08:18.064032,1777925298.064032,11046.94200539589,65358,3938,244,276,242,274,4,5,8.5,212.7352262721076,koto
161805,2026-05-04T16:08:18.142972,1777925298.142972,11047.020945310593,65361,3939,244,276,242,274,4,5,10.0,212.7352262721076,koto
161806,2026-05-04T16:08:18.207134,1777925298.2071335,11047.08510684967,65362,3940,244,276,242,274,4,5,9.0,212.7352262721076,koto
161856,2026-05-04T16:08:21.614292,1777925301.614292,11050.492265224457,65363,3941,233,197,231,195,5,5,9.0,296.07535558394875,koto
161858,2026-05-04T16:08:21.743645,1777925301.7436452,11050.621618509293,65364,3942,233,197,231,195,5,5,9.0,296.07535558394875,koto
161861,2026-05-04T16:08:21.952098,1777925301.952098,11050.830071210861,65365,3943,233,197,231,195,5,5,9.0,296.07535558394875,koto
161929,2026-05-04T16:08:26.591263,1777925306.5912626,11055.469235897064,65366,3944,361,231,359,228,4,6,9.5,97.73359809902286,biwa
162121,2026-05-04T16:08:39.662924,1777925319.6629238,11068.540897130966,65367,3945,338,302,334,297,8,10,25.5,144.72757855140162,biwa
162122,2026-05-04T16:08:39.743311,1777925319.7433114,11068.621284723282,65369,3946,348,288,342,283,12,11,37.5,135.0,biwa
162123,2026-05-04T16:08:39.806954,1777925319.8069537,11068.684926986694,65371,3947,346,287,343,282,6,10,19.5,135.43078721700863,biwa
162200,2026-05-04T16:08:45.055332,1777925325.0553324,11073.933305740356,65372,3948,169,215,165,211,9,8,29.0,272.5791475002834,koto
162201,2026-05-04T16:08:45.119247,1777925325.119247,11073.997220277786,65374,3949,170,215,167,212,6,7,13.5,272.6025622024998,koto
162202,2026-05-04T16:08:45.183696,1777925325.1836958,11074.061669111252,65376,3950,169,214,165,210,9,9,28.0,273.0940580589171,koto
162203,2026-05-04T16:08:45.263163,1777925325.2631626,11074.141135931015,65379,3951,175,206,171,203,8,6,15.0,277.59464336859145,koto
162204,2026-05-04T16:08:45.328502,1777925325.328502,11074.206475257874,65380,3952,170,214,164,210,12,9,39.0,273.1221304621157,koto
162205,2026-05-04T16:08:45.391664,1777925325.391664,11074.269637346268,65382,3953,169,214,164,210,11,9,35.0,273.0940580589171,koto
162301,2026-05-04T16:08:51.936536,1777925331.936536,11080.814509391785,65456,3954,113,335,111,333,5,5,9.5,235.4478175494739,koto
162306,2026-05-04T16:08:52.270206,1777925332.2702062,11081.148179531097,65457,3955,113,335,111,333,5,5,8.5,235.4478175494739,koto
162464,2026-05-04T16:09:03.039462,1777925343.0394616,11091.917434930801,65458,3956,314,243,311,241,6,5,8.5,124.07719528013075,biwa
162584,2026-05-04T16:09:11.215222,1777925351.2152216,11100.093194961548,65459,3957,313,234,310,232,6,5,9.5,112.98871680208066,biwa
162585,2026-05-04T16:09:11.296426,1777925351.2964263,11100.174399614334,65460,3958,304,236,302,234,5,5,10.0,123.69006752597977,biwa
162587,2026-05-04T16:09:11.423052,1777925351.423052,11100.301025390625,65461,3959,305,236,302,234,7,5,12.0,122.61924307119284,biwa
162589,2026-05-04T16:09:11.567925,1777925351.567925,11100.445898294449,65464,3960,313,235,310,233,6,5,13.0,114.44395478041656,biwa
162590,2026-05-04T16:09:11.631468,1777925351.6314683,11100.509441614151,65465,3961,304,236,302,234,5,5,8.5,123.69006752597977,biwa
162591,2026-05-04T16:09:11.696586,1777925351.6965861,11100.57455945015,65467,3962,304,236,302,234,5,5,10.0,123.69006752597977,biwa
162628,2026-05-04T16:09:14.223754,1777925354.2237537,11103.10172700882,65523,3963,314,236,311,233,6,6,10.5,115.20112364547509,biwa
162629,2026-05-04T16:09:14.287709,1777925354.2877088,11103.165682077408,65524,3964,314,235,311,233,6,4,9.0,113.80594351845775,biwa
162630,2026-05-04T16:09:14.351592,1777925354.3515918,11103.229565143585,65525,3965,314,235,311,233,6,4,8.0,113.80594351845775,biwa
162633,2026-05-04T16:09:14.559128,1777925354.5591278,11103.437101125717,65526,3966,314,235,311,233,6,4,8.0,113.80594351845775,biwa
162634,2026-05-04T16:09:14.622994,1777925354.6229944,11103.500967741013,65527,3967,314,236,311,233,6,6,9.0,115.20112364547509,biwa
162636,2026-05-04T16:09:14.768084,1777925354.7680843,11103.646057605743,65528,3968,325,238,323,236,4,5,8.5,111.80140948635182,biwa
162674,2026-05-04T16:09:17.359288,1777925357.3592877,11106.2372610569,65544,3969,325,238,323,236,5,4,8.5,111.80140948635182,biwa
162806,2026-05-04T16:09:26.351617,1777925366.3516173,11115.229590654373,65545,3970,196,431,192,429,8,5,14.5,201.70771246519374,shoko
162807,2026-05-04T16:09:26.415365,1777925366.4153652,11115.293338537216,65546,3971,198,432,196,430,5,5,8.5,201.14609417940767,shoko
162808,2026-05-04T16:09:26.495591,1777925366.495591,11115.373564243317,65547,3972,195,430,192,428,6,5,9.5,202.03622694014544,shoko
162809,2026-05-04T16:09:26.560006,1777925366.560006,11115.437979221344,65548,3973,196,433,192,430,9,6,12.0,201.52260010790707,shoko
162810,2026-05-04T16:09:26.623905,1777925366.6239047,11115.501878023148,65549,3974,196,432,192,429,9,6,13.5,201.61477894278624,shoko
162812,2026-05-04T16:09:26.767800,1777925366.7678003,11115.645773649216,65550,3975,196,433,192,430,9,6,13.5,201.52260010790707,shoko
162849,2026-05-04T16:09:29.279238,1777925369.2792385,11118.157211780548,65573,3976,195,431,192,429,6,4,9.0,201.94172540056323,shoko
162851,2026-05-04T16:09:29.423552,1777925369.4235516,11118.301524877548,65574,3977,196,432,192,429,9,7,14.0,201.61477894278624,shoko
162854,2026-05-04T16:09:29.615947,1777925369.615947,11118.493920326233,65575,3978,196,432,192,429,9,7,20.0,201.61477894278624,shoko
162857,2026-05-04T16:09:29.824834,1777925369.8248343,11118.702807664871,65577,3979,197,432,194,429,7,6,12.0,201.38081180854093,shoko
162894,2026-05-04T16:09:32.351770,1777925372.3517704,11121.229743719101,65582,3980,207,103,205,101,4,5,8.5,328.038656583023,koto
162899,2026-05-04T16:09:32.687577,1777925372.6875768,11121.565550088882,65583,3981,207,103,205,101,4,5,8.5,328.038656583023,koto
162902,2026-05-04T16:09:32.895364,1777925372.8953636,11121.77333688736,65584,3982,207,103,205,100,4,6,9.0,328.038656583023,koto
162905,2026-05-04T16:09:33.102983,1777925373.1029832,11121.980956554413,65585,3983,207,103,205,101,4,5,8.5,328.038656583023,koto
162906,2026-05-04T16:09:33.167593,1777925373.1675935,11122.045566797256,65586,3984,207,103,205,101,4,5,8.5,328.038656583023,koto
162911,2026-05-04T16:09:33.503290,1777925373.5032902,11122.381263494492,65587,3985,207,103,205,101,4,5,8.5,328.038656583023,koto
163179,2026-05-04T16:09:51.775379,1777925391.7753792,11140.653352499008,65593,3986,191,211,189,209,5,5,10.5,275.7743259026633,koto
163190,2026-05-04T16:09:52.527525,1777925392.527525,11141.40549826622,65594,3987,192,211,189,209,6,5,10.0,275.83949231151746,koto
163193,2026-05-04T16:09:52.719855,1777925392.7198546,11141.597827911377,65595,3988,191,211,189,209,5,5,8.5,275.7743259026633,koto
163196,2026-05-04T16:09:52.927354,1777925392.9273536,11141.80532693863,65596,3989,192,211,190,209,5,5,10.0,275.83949231151746,koto
163315,2026-05-04T16:10:01.038491,1777925401.0384908,11149.916464090347,65598,3990,245,293,242,291,6,4,8.0,205.61548432064217,shoko
163413,2026-05-04T16:10:07.710606,1777925407.7106063,11156.588579654694,65599,3991,303,376,301,374,5,5,10.5,171.61296762134054,taiko
163414,2026-05-04T16:10:07.790502,1777925407.7905018,11156.668475151062,65600,3992,304,376,301,374,7,5,10.0,171.25383773744477,taiko
163415,2026-05-04T16:10:07.855738,1777925407.855738,11156.733711242676,65601,3993,303,377,301,374,4,6,9.5,171.6656354826422,taiko
163417,2026-05-04T16:10:07.983527,1777925407.9835267,11156.861500024796,65602,3994,303,376,301,374,5,5,10.5,171.61296762134054,taiko
163419,2026-05-04T16:10:08.127900,1777925408.1278996,11157.005872964859,65603,3995,303,376,301,374,4,5,8.0,171.61296762134054,taiko
163421,2026-05-04T16:10:08.255956,1777925408.2559562,11157.133929491043,65605,3996,304,376,301,373,6,6,12.0,171.25383773744477,taiko
