frame_idx,iso_time,timestamp,t_rel,event_id,selected_event_id,cx,cy,x,y,w,h,area,angle,group
131777,2026-05-04T15:34:11.757894,1777923251.757894,9000.635867357254,62178,3168,346,428,342,425,8,7,14.0,162.39536666333606,kakko
131778,2026-05-04T15:34:11.838682,1777923251.8386817,9000.716655015945,62179,3169,345,429,341,426,9,6,15.0,162.72405623597137,kakko
131779,2026-05-04T15:34:11.902114,1777923251.9021137,9000.780086994171,62180,3170,345,428,343,426,5,5,10.0,162.64597536373867,kakko
131786,2026-05-04T15:34:12.383641,1777923252.383641,9001.261614322662,62181,3171,345,428,343,426,5,5,10.0,162.64597536373867,kakko
131787,2026-05-04T15:34:12.446646,1777923252.4466462,9001.324619531631,62182,3172,345,428,343,426,5,5,11.5,162.64597536373867,kakko
131788,2026-05-04T15:34:12.511036,1777923252.5110364,9001.389009714127,62183,3173,346,428,343,425,7,6,14.0,162.39536666333606,kakko
131894,2026-05-04T15:34:19.743138,1777923259.7431383,9008.621111631393,62188,3174,271,337,269,335,5,5,9.5,184.3987053549955,taiko
131897,2026-05-04T15:34:19.950447,1777923259.950447,9008.82842040062,62189,3175,272,339,270,337,5,5,8.5,183.84603009004738,taiko
131901,2026-05-04T15:34:20.223446,1777923260.2234461,9009.101419448853,62190,3176,271,338,268,335,7,6,9.5,184.36157264502057,taiko
131902,2026-05-04T15:34:20.286499,1777923260.2864985,9009.1644718647,62191,3177,271,338,268,336,6,5,8.0,184.36157264502057,taiko
132273,2026-05-04T15:34:45.566936,1777923285.5669358,9034.444909095764,62193,3178,407,393,405,390,5,6,12.5,143.7174569645997,biwa
132381,2026-05-04T15:34:52.927099,1777923292.927099,9041.805072307587,62194,3179,191,329,189,326,4,7,10.0,219.23211110208587,koto
132390,2026-05-04T15:34:53.534305,1777923293.5343046,9042.412277936935,62195,3180,154,243,152,241,5,5,11.5,259.6551425185248,koto
132391,2026-05-04T15:34:53.615692,1777923293.6156921,9042.493665456772,62196,3181,154,241,151,238,6,7,13.0,260.5376777919744,koto
132392,2026-05-04T15:34:53.679176,1777923293.6791763,9042.557149648666,62197,3182,154,245,151,242,6,6,12.0,258.7775419305552,koto
