frame_idx,iso_time,timestamp,t_rel,event_id,selected_event_id,cx,cy,x,y,w,h,area,angle,group
523,2026-05-04T13:04:47.836432,1777914287.8364315,36.714404821395874,5336,1,338,153,336,151,4,5,9.0,40.881810296011224,biwa
1074,2026-05-04T13:05:25.387271,1777914325.3872714,74.26524472236633,5337,2,314,122,310,120,8,4,8.0,19.133643205905457,biwa
1075,2026-05-04T13:05:25.467984,1777914325.4679844,74.34595775604248,5338,3,314,122,310,120,8,5,14.0,19.133643205905457,biwa
1076,2026-05-04T13:05:25.531693,1777914325.5316932,74.40966653823853,5339,4,314,122,310,120,8,5,11.5,19.133643205905457,biwa
1077,2026-05-04T13:05:25.595624,1777914325.5956242,74.4735975265503,5340,5,314,122,310,120,8,5,16.5,19.133643205905457,biwa
1078,2026-05-04T13:05:25.660227,1777914325.6602273,74.53820061683655,5341,6,314,123,310,121,8,4,10.5,19.316352819504175,biwa
1079,2026-05-04T13:05:25.740108,1777914325.7401085,74.61808180809021,5342,7,314,122,310,120,8,5,14.5,19.133643205905457,biwa
1206,2026-05-04T13:05:34.379814,1777914334.3798144,83.25778770446777,5362,8,425,165,422,162,6,7,12.0,69.22774531795415,biwa
1224,2026-05-04T13:05:35.612070,1777914335.6120698,84.49004316329956,5363,9,190,330,185,326,11,9,22.0,219.28940686250033,koto
1225,2026-05-04T13:05:35.675833,1777914335.6758325,84.55380582809448,5364,10,191,332,189,329,5,6,8.0,218.472158992115,koto
1268,2026-05-04T13:05:38.619243,1777914338.6192427,87.49721598625183,5365,11,265,377,262,375,6,4,9.0,185.4575534851046,taiko
1269,2026-05-04T13:05:38.684249,1777914338.684249,87.56222224235535,5366,12,264,376,262,374,5,5,11.0,185.85601358542894,taiko
1271,2026-05-04T13:05:38.812410,1777914338.8124099,87.69038319587708,5367,13,265,376,263,374,4,5,9.0,185.49232455712743,taiko
1274,2026-05-04T13:05:39.019324,1777914339.0193238,87.89729714393616,5368,14,264,376,262,374,5,5,9.5,185.85601358542894,taiko
1275,2026-05-04T13:05:39.084268,1777914339.084268,87.9622414112091,5369,15,265,376,263,374,5,5,8.5,185.49232455712743,taiko
1288,2026-05-04T13:05:39.979748,1777914339.9797475,88.8577208518982,5370,16,447,303,444,301,7,5,10.0,116.42765148959273,biwa
1385,2026-05-04T13:05:46.588233,1777914346.588233,95.46620631217957,5381,17,262,265,259,262,6,7,18.0,201.80140948635182,shoko
1386,2026-05-04T13:05:46.652053,1777914346.6520534,95.53002667427063,5382,18,262,267,259,264,6,6,16.0,200.95577673063218,shoko
1387,2026-05-04T13:05:46.715881,1777914346.7158806,95.59385395050049,5383,19,261,267,258,264,7,6,19.5,202.01128319791937,shoko
1388,2026-05-04T13:05:46.795499,1777914346.7954988,95.6734721660614,5384,20,261,266,258,261,7,10,27.5,202.44275336529435,shoko
1389,2026-05-04T13:05:46.860089,1777914346.860089,95.73806238174438,5385,21,261,267,257,264,8,6,22.0,202.01128319791937,shoko
1390,2026-05-04T13:05:46.923760,1777914346.9237602,95.80173349380493,5386,22,261,267,258,263,6,9,24.5,202.01128319791937,shoko
1427,2026-05-04T13:05:49.451471,1777914349.4514706,98.32944393157959,5424,23,260,267,258,264,5,7,15.0,203.051300916473,shoko
1428,2026-05-04T13:05:49.516108,1777914349.5161076,98.39408087730408,5425,24,261,267,258,264,6,7,14.5,202.01128319791937,shoko
1429,2026-05-04T13:05:49.579668,1777914349.5796676,98.45764088630676,5426,25,260,267,258,264,5,7,12.0,203.051300916473,shoko
1430,2026-05-04T13:05:49.660069,1777914349.6600688,98.53804206848145,5427,26,260,268,258,264,5,8,17.0,202.61986494804043,shoko
1431,2026-05-04T13:05:49.723969,1777914349.7239685,98.60194182395935,5428,27,261,267,258,264,6,7,14.0,202.01128319791937,shoko
1432,2026-05-04T13:05:49.788003,1777914349.7880027,98.66597604751587,5429,28,260,267,258,264,5,7,15.5,203.051300916473,shoko
1602,2026-05-04T13:06:01.372005,1777914361.3720045,110.24997782707214,5439,29,382,203,380,201,5,5,9.5,80.53767779197437,biwa
1603,2026-05-04T13:06:01.436108,1777914361.4361079,110.3140811920166,5440,30,382,203,380,201,5,5,9.5,80.53767779197437,biwa
1691,2026-05-04T13:06:07.435290,1777914367.4352896,116.31326293945312,5441,31,305,239,299,235,13,9,32.5,127.23483398157464,biwa
1733,2026-05-04T13:06:10.299663,1777914370.2996633,119.17763662338257,5442,32,330,207,328,205,5,5,8.5,75.42578380196124,biwa
1740,2026-05-04T13:06:10.780414,1777914370.7804139,119.65838718414307,5443,33,330,208,328,205,5,6,9.5,76.50426671920417,biwa
1750,2026-05-04T13:06:11.451603,1777914371.4516027,120.32957601547241,5444,34,173,78,171,75,4,6,9.0,323.0012031801382,koto
1830,2026-05-04T13:06:16.907790,1777914376.9077902,125.78576350212097,5446,35,465,319,462,317,6,5,8.0,118.15280056353288,biwa
1832,2026-05-04T13:06:17.051486,1777914377.051486,125.9294593334198,5447,36,465,320,462,318,6,5,11.5,118.39301942138297,biwa
1835,2026-05-04T13:06:17.244247,1777914377.2442474,126.12222075462341,5448,37,461,325,458,323,6,5,10.0,120.11847029685947,biwa
1836,2026-05-04T13:06:17.323408,1777914377.3234084,126.20138168334961,5449,38,465,320,462,318,6,5,10.5,118.39301942138297,biwa
1837,2026-05-04T13:06:17.387879,1777914377.3878794,126.26585268974304,5450,39,461,325,458,323,6,4,9.0,120.11847029685947,biwa
1838,2026-05-04T13:06:17.451299,1777914377.4512992,126.32927250862122,5451,40,461,326,458,324,6,4,9.5,120.35474828790115,biwa
1875,2026-05-04T13:06:19.979536,1777914379.9795363,128.8575096130371,5466,41,464,320,462,318,5,5,10.0,118.52311860631204,biwa
1877,2026-05-04T13:06:20.108137,1777914380.1081374,128.98611068725586,5467,42,464,320,462,318,5,5,8.5,118.52311860631204,biwa
2333,2026-05-04T13:06:51.195334,1777914411.195334,160.0733072757721,5468,43,106,367,103,363,7,9,23.0,229.80795396303046,koto
2341,2026-05-04T13:06:51.739838,1777914411.7398376,160.61781096458435,5470,44,108,371,104,367,9,9,19.5,228.71987717232423,koto
2342,2026-05-04T13:06:51.804221,1777914411.8042214,160.68219470977783,5471,45,107,369,104,367,6,5,11.5,229.26261112279005,koto
2344,2026-05-04T13:06:51.931996,1777914411.931996,160.80996942520142,5472,46,106,369,104,367,5,4,8.5,229.4258340364498,koto
2345,2026-05-04T13:06:52.012153,1777914412.0121531,160.8901264667511,5473,47,105,366,101,363,8,7,12.0,230.16224027094535,koto
2350,2026-05-04T13:06:52.347647,1777914412.3476467,161.2256200313568,5474,48,107,368,104,367,6,3,8.0,229.4532987443939,koto
2387,2026-05-04T13:06:54.874994,1777914414.8749938,163.75296711921692,5509,49,207,105,203,100,8,10,30.5,327.5933299561031,koto
2388,2026-05-04T13:06:54.940441,1777914414.9404407,163.81841397285461,5510,50,207,104,204,100,7,9,27.0,327.81736823279516,koto
2389,2026-05-04T13:06:55.003993,1777914415.0039928,163.8819661140442,5511,51,207,105,204,100,7,10,28.0,327.5933299561031,koto
2390,2026-05-04T13:06:55.067600,1777914415.0675995,163.94557285308838,5512,52,207,105,204,100,7,10,26.5,327.5933299561031,koto
2391,2026-05-04T13:06:55.148103,1777914415.1481028,164.02607607841492,5513,53,207,103,204,100,7,7,23.0,328.038656583023,koto
2392,2026-05-04T13:06:55.211825,1777914415.2118251,164.08979845046997,5514,54,207,105,204,100,7,10,24.0,327.5933299561031,koto
2529,2026-05-04T13:07:04.539426,1777914424.5394258,173.41739916801453,5549,55,259,307,257,305,5,5,8.0,193.5704343851615,shoko
2696,2026-05-04T13:07:15.931642,1777914435.9316423,184.80961561203003,5550,56,419,123,417,120,5,6,8.0,55.091057238888936,biwa
2699,2026-05-04T13:07:16.123804,1777914436.1238039,185.00177717208862,5551,57,418,122,416,119,5,7,11.0,54.619727799698865,biwa
2775,2026-05-04T13:07:21.307388,1777914441.3073883,190.18536162376404,5552,58,268,147,265,145,6,4,9.5,350.6650015368618,koto
3118,2026-05-04T13:07:44.683816,1777914464.6838164,213.56178975105286,5562,59,154,294,152,291,4,6,8.0,239.57421619803873,koto
3128,2026-05-04T13:07:45.371482,1777914465.3714824,214.2494556903839,5563,60,154,294,153,291,3,7,8.0,239.57421619803873,koto
3251,2026-05-04T13:07:53.739534,1777914473.7395341,222.61750745773315,5565,61,412,273,409,272,6,3,8.0,111.87620811163072,biwa
3252,2026-05-04T13:07:53.820019,1777914473.8200192,222.69799256324768,5566,62,412,274,409,272,7,4,11.0,112.24902365721238,biwa
3292,2026-05-04T13:07:56.540097,1777914476.5400975,225.41807079315186,5567,63,413,275,411,273,5,5,11.0,112.46674992099577,biwa
3332,2026-05-04T13:07:59.259704,1777914479.2597036,228.1376769542694,5568,64,413,278,411,276,5,5,10.0,113.56154534777102,biwa
3507,2026-05-04T13:08:11.196785,1777914491.1967847,240.07475805282593,5570,65,282,72,280,70,5,4,8.5,0.7742201649280673,biwa
3508,2026-05-04T13:08:11.259884,1777914491.2598839,240.1378571987152,5571,66,281,71,279,69,5,5,8.5,0.3845296595845298,biwa
3513,2026-05-04T13:08:11.595900,1777914491.5958996,240.47387290000916,5572,67,282,72,280,70,5,5,8.0,0.7742201649280673,biwa
3516,2026-05-04T13:08:11.804003,1777914491.8040035,240.68197679519653,5573,68,282,72,279,70,6,5,8.5,0.7742201649280673,biwa
3580,2026-05-04T13:08:16.171953,1777914496.171953,245.04992628097534,5574,69,342,406,339,404,6,5,12.5,161.56505117707798,kakko
3678,2026-05-04T13:08:22.843591,1777914502.843591,251.72156429290771,5575,70,465,113,463,109,5,8,16.5,59.955839930074035,biwa
3679,2026-05-04T13:08:22.908317,1777914502.908317,251.7862904071808,5576,71,465,113,463,109,5,8,15.5,59.955839930074035,biwa
3877,2026-05-04T13:08:36.411955,1777914516.4119546,265.28992795944214,5577,72,264,284,261,282,6,5,11.0,194.03624346792648,shoko
3991,2026-05-04T13:08:44.171801,1777914524.1718006,273.0497739315033,5578,73,315,377,311,375,8,4,8.0,167.43255724645928,kakko
3994,2026-05-04T13:08:44.379711,1777914524.3797107,273.25768399238586,5579,74,314,377,310,374,9,6,17.5,167.78068707678062,kakko
4127,2026-05-04T13:08:53.435915,1777914533.435915,282.3138883113861,5580,75,315,377,311,375,9,4,11.0,167.43255724645928,kakko
4131,2026-05-04T13:08:53.707837,1777914533.7078366,282.5858099460602,5581,76,315,377,310,375,10,4,13.0,167.43255724645928,kakko
4168,2026-05-04T13:08:56.236112,1777914536.2361116,285.11408495903015,5582,77,195,212,192,210,6,5,8.0,275.37670542805074,koto
4284,2026-05-04T13:09:04.139998,1777914544.1399982,293.0179715156555,5583,78,170,292,167,290,7,5,11.0,236.79342968491045,koto
4285,2026-05-04T13:09:04.203186,1777914544.203186,293.0811593532562,5584,79,171,293,169,291,5,4,8.5,236.1887999282518,koto
4286,2026-05-04T13:09:04.283602,1777914544.2836022,293.1615755558014,5585,80,171,292,168,290,7,5,9.0,236.55322519228508,koto
4287,2026-05-04T13:09:04.348281,1777914544.3482814,293.2262547016144,5586,81,172,292,169,290,6,5,11.0,236.30993247402023,koto
4288,2026-05-04T13:09:04.412378,1777914544.4123776,293.29035091400146,5587,82,172,293,168,290,8,6,17.0,235.94421969906756,koto
4334,2026-05-04T13:09:07.547579,1777914547.5475788,296.4255521297455,5588,83,284,182,281,179,7,6,15.5,6.009005957494537,biwa
4338,2026-05-04T13:09:07.819929,1777914547.819929,296.6979022026062,5589,84,284,182,281,179,6,6,14.0,6.009005957494537,biwa
4339,2026-05-04T13:09:07.884008,1777914547.8840082,296.76198148727417,5590,85,285,182,281,180,8,5,9.5,7.495857639729877,biwa
4340,2026-05-04T13:09:07.964122,1777914547.9641223,296.8420956134796,5591,86,284,182,281,179,7,6,15.5,6.009005957494537,biwa
4341,2026-05-04T13:09:08.027731,1777914548.0277314,296.9057047367096,5592,87,284,182,281,179,7,6,17.0,6.009005957494537,biwa
4345,2026-05-04T13:09:08.299246,1777914548.299246,297.17721939086914,5593,88,284,182,280,179,8,6,18.5,6.009005957494537,biwa
