frame_idx,iso_time,timestamp,t_rel,event_id,selected_event_id,cx,cy,x,y,w,h,area,angle,group
79109,2026-05-04T14:34:11.245141,1777919651.2451406,5400.123113870621,38473,1950,369,343,366,340,6,7,18.5,144.11135704478397,biwa
79110,2026-05-04T14:34:11.309162,1777919651.3091624,5400.187135696411,38474,1951,369,343,366,340,6,7,20.0,144.11135704478397,biwa
79111,2026-05-04T14:34:11.390083,1777919651.3900828,5400.268056154251,38475,1952,369,343,366,340,7,7,20.5,144.11135704478397,biwa
79367,2026-05-04T14:34:28.829599,1777919668.829599,5417.707572221756,38476,1953,367,330,364,326,7,8,12.5,141.65920726613683,biwa
79368,2026-05-04T14:34:28.893478,1777919668.8934777,5417.771450996399,38477,1954,365,330,360,326,11,8,22.0,142.30575953331083,biwa
79369,2026-05-04T14:34:28.957762,1777919668.9577618,5417.835735082626,38479,1955,363,313,361,310,5,7,8.0,138.2519456003639,biwa
79370,2026-05-04T14:34:29.037329,1777919669.0373294,5417.9153027534485,38481,1956,364,332,359,326,10,12,38.0,143.13010235415595,biwa
79371,2026-05-04T14:34:29.101967,1777919669.101967,5417.979940414429,38483,1957,366,316,364,314,5,5,8.5,138.144957464698,biwa
79372,2026-05-04T14:34:29.166126,1777919669.1661265,5418.044099807739,38484,1958,364,330,359,326,10,9,29.5,142.63333058723128,biwa
79409,2026-05-04T14:34:31.693679,1777919671.693679,5420.571652412415,38574,1959,369,343,365,339,9,8,28.0,144.11135704478397,biwa
79410,2026-05-04T14:34:31.758740,1777919671.7587402,5420.636713504791,38576,1960,369,343,365,339,8,9,20.5,144.11135704478397,biwa
79431,2026-05-04T14:34:33.181434,1777919673.181434,5422.059407234192,38577,1961,298,348,296,345,5,6,10.5,171.99527114270722,taiko
79548,2026-05-04T14:34:41.164771,1777919681.164771,5430.042744398117,38579,1962,237,378,235,375,4,7,10.0,195.22443001851897,shoko
79549,2026-05-04T14:34:41.229492,1777919681.2294924,5430.107465744019,38580,1963,237,378,235,375,4,7,9.5,195.22443001851897,shoko
79550,2026-05-04T14:34:41.294305,1777919681.2943048,5430.172278165817,38581,1964,237,378,235,375,5,7,13.5,195.22443001851897,shoko
79551,2026-05-04T14:34:41.373284,1777919681.373284,5430.251257419586,38582,1965,237,378,235,375,4,7,11.0,195.22443001851897,shoko
79553,2026-05-04T14:34:41.501991,1777919681.5019908,5430.3799641132355,38583,1966,237,379,235,376,4,6,9.5,195.133083148487,shoko
79555,2026-05-04T14:34:41.646437,1777919681.6464374,5430.52441072464,38584,1967,237,378,235,375,4,7,10.0,195.22443001851897,shoko
79694,2026-05-04T14:34:51.117610,1777919691.1176095,5439.995582818985,38602,1968,173,145,171,142,4,6,9.0,305.0279423126689,koto
79839,2026-05-04T14:35:00.990519,1777919700.9905193,5449.868492603302,38603,1969,270,80,268,78,5,4,8.5,355.9143832200251,koto
