frame_idx,iso_time,timestamp,t_rel,event_id,selected_event_id,cx,cy,x,y,w,h,area,angle,group
184954,2026-05-04T16:34:36.207097,1777926876.2070968,12625.08507013321,70880,4512,265,375,263,373,5,4,8.0,185.52754015165615,taiko
185024,2026-05-04T16:34:40.976327,1777926880.9763274,12629.854300737381,70881,4513,405,395,403,393,5,5,9.5,144.46232220802563,biwa
185025,2026-05-04T16:34:41.040097,1777926881.040097,12629.918070316315,70883,4514,404,392,402,388,5,9,15.0,144.21102654081665,biwa
185034,2026-05-04T16:34:41.663873,1777926881.6638732,12630.541846513748,70884,4515,201,245,198,243,6,4,8.0,252.4397279481993,koto
185094,2026-05-04T16:34:45.743695,1777926885.7436953,12634.621668577194,70885,4516,236,413,234,411,5,5,8.0,192.84275404394444,shoko
185275,2026-05-04T16:34:58.080252,1777926898.080252,12646.958225250244,70888,4517,345,289,341,285,8,8,21.5,136.70981404414158,biwa
185328,2026-05-04T16:35:01.694886,1777926901.6948864,12650.5728597641,70890,4518,197,432,192,429,10,7,23.5,201.38081180854093,shoko
185339,2026-05-04T16:35:02.448410,1777926902.4484103,12651.326383590698,70893,4519,196,431,191,428,10,7,31.5,201.70771246519374,shoko
185340,2026-05-04T16:35:02.512290,1777926902.5122905,12651.390263795853,70894,4520,195,432,189,428,13,8,38.0,201.847991410652,shoko
185341,2026-05-04T16:35:02.576723,1777926902.5767226,12651.454695940018,70895,4521,195,431,190,427,11,9,39.5,201.94172540056323,shoko
185417,2026-05-04T16:35:07.759429,1777926907.7594292,12656.637402534485,70896,4522,177,185,175,183,5,4,9.0,288.76806006684336,koto
185419,2026-05-04T16:35:07.888806,1777926907.8888059,12656.766779184341,70897,4523,178,185,175,183,6,4,9.0,288.93900426024004,koto
185422,2026-05-04T16:35:08.095546,1777926908.0955465,12656.973519802094,70898,4524,178,185,175,183,6,4,10.5,288.93900426024004,koto
185424,2026-05-04T16:35:08.240362,1777926908.2403622,12657.118335485458,70899,4525,178,185,175,183,6,4,9.0,288.93900426024004,koto
185547,2026-05-04T16:35:16.624500,1777926916.6244998,12665.502473115921,70901,4526,314,367,312,365,5,5,8.5,166.97692032939506,kakko
185548,2026-05-04T16:35:16.688246,1777926916.688246,12665.566219329834,70902,4527,314,367,312,364,4,6,9.5,166.97692032939506,kakko
185550,2026-05-04T16:35:16.816705,1777926916.8167045,12665.694677829742,70903,4528,314,367,312,365,4,5,8.0,166.97692032939506,kakko
185552,2026-05-04T16:35:16.960299,1777926916.9602988,12665.838272094727,70904,4529,255,446,252,444,6,4,9.0,186.31236475464806,taiko
185555,2026-05-04T16:35:17.168193,1777926917.1681929,12666.046166181564,70907,4530,124,102,121,101,7,3,8.0,307.1042349057062,koto
185821,2026-05-04T16:35:35.295935,1777926935.2959347,12684.173907995224,70909,4531,386,408,383,405,6,6,12.5,150.58440116690446,kakko
185822,2026-05-04T16:35:35.359852,1777926935.359852,12684.237825393677,70910,4532,386,408,384,405,5,6,10.0,150.58440116690446,kakko
185823,2026-05-04T16:35:35.424096,1777926935.424096,12684.302069425583,70911,4533,386,408,384,405,5,6,8.0,150.58440116690446,kakko
185824,2026-05-04T16:35:35.488055,1777926935.4880555,12684.366028785706,70912,4534,169,52,166,50,6,4,8.0,326.54669054592733,koto
185825,2026-05-04T16:35:35.567986,1777926935.5679858,12684.445959091187,70913,4535,386,409,384,406,5,6,12.5,150.71426223063827,kakko
185831,2026-05-04T16:35:35.967498,1777926935.967498,12684.845471382141,70914,4536,386,409,383,406,6,6,9.5,150.71426223063827,kakko
186672,2026-05-04T16:36:33.280350,1777926993.2803497,12742.158323049545,70931,4537,345,428,342,425,6,6,13.5,162.64597536373867,kakko
186673,2026-05-04T16:36:33.344113,1777926993.3441129,12742.222086191177,70932,4538,344,427,341,425,6,5,11.5,162.81950279975956,kakko
186710,2026-05-04T16:36:35.871525,1777926995.8715246,12744.749497890472,70952,4539,176,312,173,309,7,6,17.0,228.50353164478443,koto
186711,2026-05-04T16:36:35.936346,1777926995.936346,12744.814319372177,70954,4540,176,312,173,309,7,6,19.0,228.50353164478443,koto
186712,2026-05-04T16:36:36.000423,1777926996.000423,12744.87839627266,70956,4541,176,312,172,308,9,8,22.0,228.50353164478443,koto
186713,2026-05-04T16:36:36.080287,1777926996.0802872,12744.958260536194,70957,4542,176,312,172,309,8,6,21.5,228.50353164478443,koto
186714,2026-05-04T16:36:36.143898,1777926996.1438975,12745.021870851517,70959,4543,176,312,172,308,9,8,24.0,228.50353164478443,koto
186715,2026-05-04T16:36:36.207423,1777926996.207423,12745.085396289825,70960,4544,175,311,171,307,9,9,26.0,229.08561677997488,koto
186766,2026-05-04T16:36:39.680243,1777926999.6802433,12748.558216571808,71008,4545,289,355,286,353,6,4,9.5,176.1859251657097,taiko
186772,2026-05-04T16:36:40.096019,1777927000.0960188,12748.973992109299,71009,4546,289,354,287,352,5,5,8.5,176.15754687208516,taiko
186779,2026-05-04T16:36:40.575787,1777927000.5757866,12749.453759908676,71010,4547,289,354,287,352,5,5,8.5,176.15754687208516,taiko
187246,2026-05-04T16:37:12.399947,1777927032.3999467,12781.277920007706,71011,4548,305,88,302,86,7,4,8.5,10.724448537471176,biwa
187427,2026-05-04T16:37:24.735735,1777927044.735735,12793.613708257675,71012,4549,371,286,369,284,5,5,11.0,125.9524280000993,biwa
187428,2026-05-04T16:37:24.799839,1777927044.799839,12793.677812337875,71013,4550,371,286,369,284,5,5,11.0,125.9524280000993,biwa
187429,2026-05-04T16:37:24.863895,1777927044.8638952,12793.741868495941,71014,4551,371,286,368,284,6,5,11.5,125.9524280000993,biwa
187430,2026-05-04T16:37:24.944005,1777927044.944005,12793.821978330612,71015,4552,371,286,368,284,6,5,13.5,125.9524280000993,biwa
187435,2026-05-04T16:37:25.280310,1777927045.2803102,12794.158283472061,71016,4553,388,268,385,266,7,4,11.5,113.9624889745782,biwa
