objectID,title,department,objectName,classification,medium,isPublicDomain,best_image_url,primaryImage_exists,primaryImageSmall_exists,additionalImages_count
750354,Terracotta fragment of a mastoid (drinking cup with narrow base) or a kyathos (cup-shaped ladle),Greek and Roman Art,Mastoid or kyathos fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB11978_1_ff.jpg,True,True,1
788894,Lamellar Shoulder Defenses,Arms and Armor,Lamellar shoulder defenses,Armor Parts-Arms & Shoulders,"Iron, leather, textile",True,https://images.metmuseum.org/CRDImages/aa/web-large/LC-L_2020_22_1a_b-001.jpg,True,True,1
750355,Terracotta fragment of a mastoid (drinking cup with narrow base) or a kyathos (cup-shaped ladle),Greek and Roman Art,Mastoid or kyathos fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB12061_1_ff.jpg,True,True,1
788925,Johnny safe returned to his Mama,Drawings and Prints,Print,Prints,Hand-colored etching and aquatint,True,https://images.metmuseum.org/CRDImages/dp/web-large/DP884212.jpg,True,True,0
750356,Terracotta fragment of a mastoid (drinking cup with narrow base) or a kyathos (cup-shaped ladle),Greek and Roman Art,Mastoid or kyathos fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB12059_1_ff.jpg,True,True,1
750357,Terracotta fragment of a mastoid (drinking cup with narrow base) or a kyathos (cup-shaped ladle),Greek and Roman Art,Mastoid or kyathos fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB12058_1_ff.jpg,True,True,1
788979,"Plate 5, from ""World in Miniature""",Drawings and Prints,Print,Prints,Hand-colored etching,True,https://images.metmuseum.org/CRDImages/dp/web-large/DP884040.jpg,True,True,0
788988,"Plate 14: Richardson's Show, from ""World in Miniature""",Drawings and Prints,Print,Prints,Hand-colored etching,True,https://images.metmuseum.org/CRDImages/dp/web-large/DP884049.jpg,True,True,0
750358,Terracotta fragment of a mastoid (drinking cup with narrow base) or a kyathos (cup-shaped ladle),Greek and Roman Art,Mastoid or kyathos fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB12057_1_ff.jpg,True,True,1
739938,Terracotta fragment of a skyphos (deep drinking cup),Greek and Roman Art,Skyphos fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB10837_1_ff.jpg,True,True,1
750359,Terracotta fragment of a mastoid (drinking cup with narrow base) or a kyathos (cup-shaped ladle),Greek and Roman Art,Mastoid or kyathos fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB11964_1_ff.jpg,True,True,1
750360,Terracotta fragment of a mastoid (drinking cup with narrow base) or a kyathos (cup-shaped ladle),Greek and Roman Art,Mastoid or kyathos fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB12056_1_ff.jpg,True,True,1
789044,Temple Dancer,Asian Art,Panel,Ivories,Ivory,True,https://images.metmuseum.org/CRDImages/as/web-large/DP-20871-001.jpg,True,True,1
789059,Greeting Card,Drawings and Prints,Greeting Card,Drawings,"Silk thread, pen, black ink, watercolor",True,https://images.metmuseum.org/CRDImages/dp/web-large/DP882829.jpg,True,True,1
750361,Terracotta fragment of a mastoid (drinking cup with narrow base) or a kyathos (cup-shaped ladle),Greek and Roman Art,Mastoid or kyathos fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB12055_1_ff.jpg,True,True,1
